school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,subject,total_grade
GP,Female,18,Urban,GreaterThan3,Apart,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,Mathematics,17
GP,Female,17,Urban,GreaterThan3,Together,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,Mathematics,16
GP,Female,15,Urban,LessThen3,Together,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,Mathematics,25
GP,Female,15,Urban,GreaterThan3,Together,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,Mathematics,44
GP,Female,16,Urban,GreaterThan3,Together,3,3,other,other,home,father,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,Mathematics,26
GP,Male,16,Urban,LessThen3,Together,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,Mathematics,45
GP,Male,16,Urban,LessThen3,Together,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,Mathematics,35
GP,Female,17,Urban,GreaterThan3,Apart,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,Mathematics,17
GP,Male,15,Urban,LessThen3,Apart,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,Mathematics,53
GP,Male,15,Urban,GreaterThan3,Together,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,Mathematics,44
GP,Female,15,Urban,GreaterThan3,Together,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,Mathematics,27
GP,Female,15,Urban,GreaterThan3,Together,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,Mathematics,34
GP,Male,15,Urban,LessThen3,Together,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,Mathematics,42
GP,Male,15,Urban,GreaterThan3,Together,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,Mathematics,31
